episode;steps;steps_try_grab_apple;initial_position_apple;current_exploration;time;mean_time;mean_fps;reward;last_reward;last_code_grab_overlap;last_code_arm_collision;last_drone_collision;last_action;last_state
10;45;2;(1.4012115001678467, 0.5624781847000122, -2.0205352306365967);0.35;7.0071868896484375;0.15571526421440973;6.421977993262532;956.354928092575;940.2873262974647;21001;10000;False;(0.08438799530267715, -0.011387431994080544, -0.16490483283996582);{'bbox': [0.45579618215560913, 0.5837295320298936, 0.539099931716919, 0.7327761120266385], 'velocity': (0.05605773627758026, 0.0006146574742160738, -0.00863303616642952)}
11;40;4;(1.2939345836639404, -0.1395946592092514, -2.249837636947632);0.35;6.275078296661377;0.15687695741653443;6.374422454821287;955.2316023965915;944.38120348335;21001;10000;False;(0.06968540698289871, -0.02623024210333824, -0.16671700775623322);{'bbox': [0.4520486295223236, 0.5823712878757052, 0.5370222330093384, 0.7433982425265842], 'velocity': (0.044858433306217194, 0.0004269647761248052, -0.016674906015396118)}
12;34;3;(1.2466485500335693, 0.022479265928268433, -2.0820868015289307);0.35;5.249526739120483;0.1543978452682495;6.476774324554908;949.4099897816137;940.9272396188412;21001;10000;False;(0.07392331212759018, -0.016016829758882523, -0.17551289498806);{'bbox': [0.4540860056877136, 0.5742861959669325, 0.5393575429916382, 0.7310462527804904], 'velocity': (0.04979640617966652, -0.0010609356686472893, 0.00696374149993062)}
13;42;3;(1.3992429971694946, 0.33051878213882446, -2.3558130264282227);0.35;6.522607326507568;0.15530017444065639;6.439142799431446;945.0862306303912;930.2813161227356;21001;10000;False;(0.07713145017623901, -0.009847158566117287, -0.154973566532135);{'bbox': [0.45330968499183655, 0.5850008328755697, 0.5362038612365723, 0.7390950520833334], 'velocity': (0.06445283442735672, -0.004487533122301102, 0.014034043997526169)}
14;32;5;(1.2262274026870728, -0.37283286452293396, -2.390800952911377);0.35;4.906678676605225;0.15333370864391327;6.521723167358451;964.3596149951965;951.0988539408366;21001;10000;False;(0.11278886085862282, 0.010059174322258925, -0.15616565704983193);{'bbox': [0.45585206151008606, 0.5781624052259657, 0.5411232709884644, 0.7258408864339193], 'velocity': (0.04532232508063316, -0.008218877948820591, 0.003321236465126276)}
15;39;3;(1.3323864936828613, -0.38234102725982666, -2.3047189712524414);0.35;5.982134580612183;0.15338806616954315;6.519412004938366;956.172336378194;942.1722739818119;21001;10000;False;(0.08401697129011154, -0.004384694620966911, -0.16323380172252655);{'bbox': [0.4551897346973419, 0.5845350159539117, 0.5390399694442749, 0.7330920961168077], 'velocity': (0.050850849598646164, -0.002359686652198434, -0.00585603853687644)}
16;38;1;(1.3505207300186157, 0.0069814869202673435, -2.2290990352630615);0.35;5.777024507522583;0.1520269607242785;6.577780646510691;925.3609329481675;914.0582141272599;21001;10000;False;(0.08173901094555905, -0.04252276108858856, -0.15348106150536794);{'bbox': [0.45322608947753906, 0.58321746190389, 0.5389804244041443, 0.7364707522922092], 'velocity': (0.0691136047244072, -0.0031758183613419533, 0.007647052872925997)}
17;43;3;(1.3444510698318481, -0.308000773191452, -1.7432268857955933);0.35;6.75666356086731;0.1571317107178444;6.364087779809532;-87.0306339177707;-100.24759430538103;21001;10002;False;(0.10066394615144901, 0.017739321031740474, -0.17901724528582041);{'bbox': [0.45238083600997925, 0.578209294213189, 0.5392134189605713, 0.7346870104471842], 'velocity': (0.04896422103047371, 0.0001574110792716965, -0.01377146691083908)}
18;33;4;(1.2363048791885376, -0.5254761576652527, -1.8223437070846558);0.35;5.0828423500061035;0.1540255257577607;6.4924303623071005;946.271755920116;932.486330825597;21001;10000;False;(0.06609025597572327, 0.0061062234453856945, -0.1694181263446808);{'bbox': [0.4486638903617859, 0.5821537971496582, 0.5369919538497925, 0.742661370171441], 'velocity': (0.050785597413778305, -0.016400186344981194, -0.03058011829853058)}
19;40;3;(1.3513363599777222, -0.48129361867904663, -1.9565528631210327);0.35;6.21269679069519;0.15531741976737976;6.438427843429982;960.6424762576214;946.4142313136301;21001;10000;False;(0.04106333489619785, 0.0410214543017626, -0.14561503915706378);{'bbox': [0.45643651485443115, 0.5795136027865939, 0.5397692322731018, 0.7298163308037652], 'velocity': (0.04934501275420189, -0.0032828531693667173, -0.0046827830374240875)}
20;40;3;(1.2619106769561768, -0.1088906079530716, -2.0847132205963135);0.35;6.190239191055298;0.15475597977638245;6.461785847919859;948.8920751201173;939.7619581997245;21001;10000;False;(0.08411440253257751, -0.004999767988920212, -0.16377069056034088);{'bbox': [0.4550808072090149, 0.5840211444430881, 0.5395006537437439, 0.7322065565321181], 'velocity': (0.05121620371937752, -0.0019115835893899202, -0.003476373851299286)}
21;43;3;(1.3793119192123413, 0.326008677482605, -1.8900681734085083);0.35;6.760655641555786;0.15722454980362294;6.360329867371367;940.1801572970958;927.0422572570843;21001;10000;False;(0.08642920851707458, 0.017896099016070366, -0.16420939564704895);{'bbox': [0.45568767189979553, 0.5843402014838325, 0.5417553782463074, 0.7284447352091471], 'velocity': (0.06497751176357269, -0.009837114252150059, -0.0073619321919977665)}
22;39;2;(1.3436859846115112, 0.25071609020233154, -1.7652688026428223);0.35;6.130852460861206;0.15720134515028733;6.361268722249049;906.3369013071995;893.8892420430135;21001;10000;False;(0.0905286104203093, -0.025670631298467264, -0.2102568890541338);{'bbox': [0.45203977823257446, 0.582156605190701, 0.535190999507904, 0.7387058999803331], 'velocity': (0.06597539037466049, -0.007398469839245081, -0.007673812098801136)}
23;40;2;(1.4056652784347534, -0.5155928134918213, -2.356410503387451);0.35;6.139835596084595;0.15349588990211488;6.514832420840096;942.8803628897352;926.0522913335418;21001;10000;False;(0.0790342167019844, 0.008958578109741211, -0.13529907166957855);{'bbox': [0.45484238862991333, 0.5962437523735894, 0.5344282388687134, 0.7491296662224664], 'velocity': (0.06325577199459076, -0.010336434468626976, 0.01538054458796978)}
24;37;2;(1.2651809453964233, 0.225473091006279, -1.79732084274292);0.35;5.648767709732056;0.15266939756032583;6.550101172730833;-89.47197283525281;-100.24690198557386;21001;10002;False;(0.083931565284729, 0.00020715258142445236, -0.14977556467056274);{'bbox': [0.45401668548583984, 0.5910385449727377, 0.5384727120399475, 0.7381314701504178], 'velocity': (0.06768389791250229, -0.005090055987238884, 0.002498192712664604)}
25;41;4;(1.3553907871246338, -0.5525914430618286, -1.9475901126861572);0.35;6.379878759384155;0.15560679900936963;6.426454411801032;955.2313570903881;939.8361014224286;21001;10000;False;(0.08216946572065353, 0.002503026043996215, -0.16404284536838531);{'bbox': [0.4547008275985718, 0.5842130449083116, 0.5414146780967712, 0.7323984569973416], 'velocity': (0.046551935374736786, -0.0041704606264829636, -0.0035133808851242065)}
26;33;5;(1.2229756116867065, -0.44101229310035706, -1.771565556526184);0.35;5.0613837242126465;0.1533752643700802;6.519956161816897;906.951074266163;894.2908534786209;21001;10000;False;(0.06793222164110216, 0.03268432450076203, -0.22923655983234764);{'bbox': [0.453626424074173, 0.5676772859361436, 0.537522554397583, 0.7302909957038032], 'velocity': (0.05106211453676224, -0.00997338816523552, 0.005198718048632145)}
27;37;4;(1.3638556003570557, 0.030751800164580345, -2.315131902694702);0.35;5.802974462509155;0.15683714763538256;6.376040466668111;936.5247460313605;924.1827989990741;21001;10000;False;(0.08538815379142761, -0.008447399362921715, -0.1704515963792801);{'bbox': [0.45639875531196594, 0.5778399573432075, 0.5412477254867554, 0.7253765530056424], 'velocity': (0.05747136473655701, 0.0008830362348817289, 0.011959840543568134)}
28;38;3;(1.3100658655166626, -0.04637979343533516, -2.3761727809906006);0.35;5.968162298202515;0.1570569025842767;6.367119073059524;953.9474118536673;941.7325236825643;21001;10000;False;(0.08380772173404694, 0.0067016128450632095, -0.1591639220714569);{'bbox': [0.4551151394844055, 0.5851522551642524, 0.5405834317207336, 0.7323753039042155], 'velocity': (0.050657689571380615, -0.005637436639517546, 0.008476164191961288)}
29;44;4;(1.3696144819259644, -0.41624507308006287, -1.9742813110351562);0.35;6.810560941696167;0.15478547594764017;6.460554479531875;-86.6095180491333;-100.34075205473579;21001;10002;False;(0.06165239804787824, 0.033093419647811206, -0.1794078353795535);{'bbox': [0.45580071210861206, 0.5781357023451064, 0.5409038066864014, 0.7271209292941623], 'velocity': (0.04757839813828468, -0.002887775655835867, 0.0012727216817438602)}
30;36;3;(1.2877291440963745, -0.5030214190483093, -2.0401132106781006);0.35;5.634793758392334;0.1565220488442315;6.388876247046738;946.242799225925;932.629563267347;21001;10000;False;(0.08091478049755096, 0.009640071541070938, -0.1718265563249588);{'bbox': [0.4562411904335022, 0.5796664026048448, 0.5388329029083252, 0.7308515442742242], 'velocity': (0.04754006117582321, -0.008783525787293911, -0.013429056853055954)}
31;43;3;(1.3970792293548584, -0.5629501342773438, -2.027822971343994);0.35;6.589980125427246;0.153255351754122;6.525057614982138;965.1211152734968;949.0950624608338;21001;10000;False;(0.07641514390707016, -0.011346978135406971, -0.15952983498573303);{'bbox': [0.45300695300102234, 0.5845438639322916, 0.5390802025794983, 0.7382550239562988], 'velocity': (0.049647144973278046, -0.0019858907908201218, 0.0060845124535262585)}
32;37;4;(1.3094046115875244, -0.491543173789978, -2.254470109939575);0.35;5.579399824142456;0.150794589841688;6.631537650321885;947.4495804221572;932.9078288571327;21001;10000;False;(0.09815371457716132, 0.030161918514753847, -0.167099846102638);{'bbox': [0.45255565643310547, 0.582433647579617, 0.5387887358665466, 0.7372631496853299], 'velocity': (0.04699592664837837, -0.01027925219386816, 0.00428603682667017)}
33;47;3;(1.3618106842041016, -0.0875067412853241, -2.038909435272217);0.35;7.152909994125366;0.1521895743430929;6.570752328576868;935.223974718517;924.3772294145828;21001;10000;False;(0.1259106540144279, -0.002605913826699252, -0.1709938231543975);{'bbox': [0.45289742946624756, 0.588714705573188, 0.5363515019416809, 0.7426514095730252], 'velocity': (0.05461611971259117, 0.0012811447959393263, 0.013385471887886524)}
34;36;3;(1.2403807640075684, 0.5290629267692566, -2.072679281234741);0.35;5.468611240386963;0.15190586778852674;6.583024175156509;942.3028064240884;928.8272268542624;21001;10000;False;(0.08931434154510498, -0.019091831520199776, -0.1593543440103531);{'bbox': [0.4589185118675232, 0.5843846003214518, 0.5449703931808472, 0.7306354310777452], 'velocity': (0.04520430788397789, 0.011222741566598415, 0.019349567592144012)}
35;41;4;(1.3071190118789673, 0.2909732758998871, -1.974687099456787);0.35;6.365406513214111;0.15525381739546612;6.4410654551106905;-88.96813415157669;-100.27889001263576;21001;10002;False;(0.07177702337503433, -0.012327888049185276, -0.16063237190246582);{'bbox': [0.4522051215171814, 0.5840928819444444, 0.5388080477714539, 0.7407299677530924], 'velocity': (0.05759885162115097, -0.003647070610895753, -0.000781551469117403)}
36;43;3;(1.3932156562805176, 0.317767858505249, -2.0120530128479004);0.35;6.702765703201294;0.15587827216747197;6.4152622818761005;932.3522000572051;919.322588489701;21001;10000;False;(0.11837144442868909, 0.08321737327751756, -0.18030773285677262);{'bbox': [0.45647764205932617, 0.5904297298855252, 0.5414177179336548, 0.7336903148227267], 'velocity': (0.06487806886434555, -0.016502704471349716, -0.023506082594394684)}
37;37;4;(1.312021017074585, -0.35778072476387024, -2.3499503135681152);0.35;5.665735960006714;0.15312799891910037;6.530484346813111;951.479388093771;937.592007449662;21001;10000;False;(0.08221498876810074, -0.0014789348933845758, -0.17283931374549866);{'bbox': [0.4557097554206848, 0.5785603523254395, 0.5408419370651245, 0.7278596030341254], 'velocity': (0.05440420284867287, -0.0033848423045128584, -0.005097280256450176)}
38;44;2;(1.4037978649139404, 0.6164005994796753, -1.766461730003357);0.35;6.830522775650024;0.15523915399204602;6.441673857944607;939.8783492247658;922.3454554099814;21001;10000;False;(0.10228324794384291, 0.006085684774277941, -0.17970316646611978);{'bbox': [0.4524499475955963, 0.5832439528571235, 0.5367377400398254, 0.7360043525695801], 'velocity': (0.0540873147547245, -0.0005551165668293834, 0.009288359433412552)}
39;33;3;(1.2393196821212769, -0.45880430936813354, -2.0847008228302);0.35;4.994510650634766;0.1513488075949929;6.607253905005877;944.9298153917198;932.6004700653506;21001;10000;False;(0.07541656494140625, 0.013986061327159405, -0.16676339507102966);{'bbox': [0.45255833864212036, 0.5776358710394965, 0.5389146208763123, 0.7316908306545682], 'velocity': (0.04551791027188301, -0.013624441809952259, 0.02024843916296959)}
40;39;3;(1.3466814756393433, -0.5751686096191406, -1.9797731637954712);0.35;6.025552749633789;0.15450135255471253;6.47243524710165;953.8033286879116;938.3256426813546;21001;10000;False;(0.07867397367954254, 0.0093685332685709, -0.15956991910934448);{'bbox': [0.45587852597236633, 0.5833695199754503, 0.5389511585235596, 0.7355818218655057], 'velocity': (0.04932893067598343, -0.008273004554212093, 0.010600317269563675)}
41;38;3;(1.3312187194824219, 0.5587319731712341, -2.223172187805176);0.35;5.846393346786499;0.15385245649438156;6.499733724020964;942.6419228753605;927.0686333732986;21001;10000;False;(0.11237948951338826, -0.011318311218537401, -0.16819581140448345);{'bbox': [0.46298032999038696, 0.5830922656589084, 0.5444479584693909, 0.7361969947814941], 'velocity': (0.05805239826440811, 0.005925619043409824, 0.010828103870153427)}
42;39;3;(1.289408802986145, 0.38874614238739014, -2.072160482406616);0.35;6.023556232452393;0.15445015980647162;6.474580545938024;942.0834973676027;929.9103382202625;21001;10000;False;(0.049798855263554764, 0.016100453507672502, -0.16697994479359804);{'bbox': [0.45541661977767944, 0.5861731635199653, 0.5413603186607361, 0.7331602838304307], 'velocity': (0.053252093493938446, 0.003753099124878645, 0.003988971002399921)}
43;35;2;(1.271547555923462, 0.6157687306404114, -2.389543294906616);0.35;5.5220091342926025;0.1577716895512172;6.338272746172065;962.5523930093917;945.7350337629584;21001;10000;False;(0.09718977694706984, 0.0030624116944198004, -0.2273951816172019);{'bbox': [0.4624904990196228, 0.5715839597913954, 0.5480777025222778, 0.7279434733920627], 'velocity': (0.045869503170251846, 0.010027904994785786, -0.02061578631401062)}
44;41;4;(1.2653366327285767, -0.19318117201328278, -2.0011837482452393);0.35;6.382872819900513;0.15567982487562226;6.423439908150802;953.6056188911124;943.9966635420803;21001;10000;False;(0.0814269568364589, 0.015485768646791173, -0.13854750764468723);{'bbox': [0.4561026394367218, 0.58315552605523, 0.5385057926177979, 0.7352951367696127], 'velocity': (0.05195900797843933, -0.003036708105355501, 0.011325400322675705)}
45;41;3;(1.3867857456207275, 0.2804166376590729, -2.1461572647094727);0.35;6.500649452209473;0.15855242566364566;6.307062133009606;934.2992446644967;921.4940955020874;21001;10000;False;(0.08229300379753113, 0.013633832335472107, -0.1615487039089203);{'bbox': [0.45527383685112, 0.5840576489766439, 0.539453387260437, 0.7320587899949815], 'velocity': (0.06295158714056015, -0.010313506238162518, -5.069468170404434e-05)}
46;42;2;(1.372719407081604, 0.5745945572853088, -1.771156907081604);0.35;6.55454683303833;0.156060638881865;6.407765642667793;948.8901331997099;932.3480412525114;21001;10000;False;(0.091966912150383, -0.018680404871702194, -0.15506532788276672);{'bbox': [0.45559149980545044, 0.5846175087822808, 0.539098858833313, 0.7303257518344455], 'velocity': (0.055221255868673325, 0.005435299593955278, 0.029061300680041313)}
47;44;2;(1.387852430343628, 0.6270571947097778, -1.7861748933792114);0.35;6.847990274429321;0.15563614260066638;6.425242770028138;-82.80039649604973;-100.16287725040083;21001;10002;False;(0.08687352389097214, 0.021553345024585724, -0.13110338151454926);{'bbox': [0.46220114827156067, 0.5980322625901964, 0.5400439500808716, 0.7465931044684516], 'velocity': (0.0580277219414711, -0.004780912306159735, 0.02499779872596264)}
48;42;4;(1.3903064727783203, -0.39836031198501587, -2.2071311473846436);0.35;6.453239440917969;0.1536485581170945;6.508359155820434;961.2201531175726;946.887307218024;21001;10000;False;(0.06864171113370302, 0.025331047609081322, -0.1442510224778992);{'bbox': [0.4521293640136719, 0.5783544646369086, 0.5395262241363525, 0.7339655558268229], 'velocity': (0.04592040926218033, -0.0028720335103571415, -0.019165566191077232)}
49;42;4;(1.3441123962402344, -0.3874344229698181, -1.9438974857330322);0.35;6.404831647872925;0.152495991616022;6.557549410990124;922.175164078171;909.1695265800741;21001;10000;False;(0.08121289631343118, -0.042233715722627775, -0.21865401026949693);{'bbox': [0.45588910579681396, 0.5735389921400282, 0.5406566858291626, 0.7254756291707357], 'velocity': (0.054959721863269806, 0.001974949147552252, -0.003448606003075838)}
50;40;3;(1.407518982887268, 0.09988799691200256, -2.20172381401062);0.35;6.379878759384155;0.1594969689846039;6.269711621269299;942.8050367057925;930.4340197123354;21001;10000;False;(0.08509141951799393, -0.007311167661100626, -0.17570540308952332);{'bbox': [0.45604559779167175, 0.5782987276713053, 0.5389057397842407, 0.7275469038221571], 'velocity': (0.05314430966973305, -0.001736077363602817, -0.016429590061306953)}
51;47;2;(1.4119410514831543, -0.3169664442539215, -2.02013897895813);0.35;7.255215644836426;0.15436629031566865;6.478098281399828;951.7963864519137;938.4841780391603;21001;10000;False;(0.08673592656850815, -0.006882847286760807, -0.15538552403450012);{'bbox': [0.45396900177001953, 0.5903505749172635, 0.538560152053833, 0.7365515496995714], 'velocity': (0.05407264083623886, -0.0014364102389663458, -0.010549969971179962)}
52;38;3;(1.252832055091858, 0.3817727863788605, -1.9404784440994263);0.35;5.811957359313965;0.15294624629773593;6.538244803035765;938.8825892824216;927.3202358766985;21001;10000;False;(0.08982859551906586, -0.011866562068462372, -0.16817143559455872);{'bbox': [0.45616933703422546, 0.5842771000332303, 0.5419501066207886, 0.7286931673685709], 'velocity': (0.05920805409550667, 0.00334469648078084, -0.018410705029964447)}
53;32;3;(1.2622849941253662, 0.13283436000347137, -2.3734636306762695);0.35;5.0334367752075195;0.15729489922523499;6.35748523903545;943.1305215597491;931.4802183105321;21001;10000;False;(0.08285215497016907, 0.038607995957136154, -0.159157857298851);{'bbox': [0.4590194821357727, 0.584784984588623, 0.5409641861915588, 0.7317760255601671], 'velocity': (0.06307291984558105, -0.016876287758350372, 0.0013714865781366825)}
54;34;3;(1.378421425819397, 0.05868097022175789, -2.392481803894043);0.35;5.20361328125;0.1530474494485294;6.533921366238153;938.8670297401301;925.3991271994624;21001;10000;False;(0.12930172237873977, 0.019033425398601367, -0.13425725157281498);{'bbox': [0.46081939339637756, 0.5914096832275391, 0.5416359305381775, 0.7381086879306369], 'velocity': (0.0680939182639122, -0.005340011324733496, 0.007118529174476862)}
55;36;3;(1.2379869222640991, 0.2156202644109726, -2.086930751800537);0.35;5.688193321228027;0.15800537003411186;6.328898820236993;946.0956309368775;936.7133828961321;21001;10000;False;(0.0723988488316536, -0.009431981481611729, -0.1611345410346985);{'bbox': [0.4524270296096802, 0.5836315155029297, 0.5376883745193481, 0.7402926021152072], 'velocity': (0.05751306563615799, -0.005377741064876318, -0.0014578127302229404)}
56;36;2;(1.3427932262420654, 0.17831066250801086, -2.399165630340576);0.35;5.543467044830322;0.15398519568973118;6.494130786539547;937.900511749012;924.51905635376;21001;10000;False;(0.08237351477146149, 0.013520260341465473, -0.15257349610328674);{'bbox': [0.4527876675128937, 0.5905906359354655, 0.537961483001709, 0.7380698521931967], 'velocity': (0.06939280033111572, -0.01252121850848198, -0.00887826457619667)}
57;44;3;(1.3800208568572998, 0.5850721597671509, -1.841513991355896);0.35;6.865455865859985;0.15603308786045422;6.40889707248718;952.481842217813;936.0124208736327;21001;10000;False;(0.09202709794044495, -0.008013716898858547, -0.1586058884859085);{'bbox': [0.457400381565094, 0.5837229622734917, 0.5421785712242126, 0.72750367058648], 'velocity': (0.054756637662649155, 0.004214376211166382, 0.024172630161046982)}
58;41;3;(1.2938625812530518, -0.3287539482116699, -1.909894347190857);0.35;6.424793720245361;0.15670228585964296;6.381527841244718;959.4458994998095;947.8480734749099;21001;10000;False;(0.0863274335861206, -0.0036242096684873104, -0.16533632576465607);{'bbox': [0.45508676767349243, 0.5840584966871474, 0.5395777821540833, 0.7307040956285265], 'velocity': (0.04781150817871094, -0.0019879804458469152, -0.007652698550373316)}
59;37;2;(1.291271686553955, 0.6025619506835938, -2.31952166557312);0.35;5.6881937980651855;0.1537349675152753;6.504701019959163;946.3639994915865;930.0044575439573;21001;10000;False;(0.08635677397251129, -0.013741465285420418, -0.16587157547473907);{'bbox': [0.4592844843864441, 0.5840206146240234, 0.5445652008056641, 0.7309278382195367], 'velocity': (0.05407247319817543, 0.0075390757992863655, -0.008165085688233376)}
60;41;3;(1.3676754236221313, -0.2856961190700531, -2.383774757385254);0.35;6.407326698303223;0.15627626093422495;6.398924532887881;961.0485036589906;946.6849430311688;21001;10000;False;(0.07597485929727554, -0.007401407230645418, -0.15707796812057495);{'bbox': [0.45509764552116394, 0.5842236942715116, 0.5390438437461853, 0.7392720116509331], 'velocity': (0.0517268069088459, -0.0022289862390607595, 0.013899464160203934)}
61;41;3;(1.3721129894256592, 0.6178998947143555, -1.738261342048645);0.35;6.4472503662109375;0.15725000893197408;6.35930011573225;935.5535038512725;918.2297190989528;21001;10000;False;(0.08791059450917063, -0.03598940548204313, -0.19966642347741453);{'bbox': [0.45946037769317627, 0.5839405589633517, 0.5435525178909302, 0.7319431304931641], 'velocity': (0.054460495710372925, 0.0019338621059432626, -0.0026782224886119366)}
62;36;4;(1.2739535570144653, 0.4781439006328583, -2.2867398262023926);0.35;5.623316526412964;0.15620323684480455;6.401915992263004;960.0178772896021;945.9152313296252;21001;10000;False;(0.07416992634534836, 0.007275932002812624, -0.17772862315177917);{'bbox': [0.4634709656238556, 0.5769528812832303, 0.548315703868866, 0.7329387664794922], 'velocity': (0.04590124264359474, 0.001338414498604834, -0.020611904561519623)}
63;39;4;(1.291914463043213, -0.28202056884765625, -2.3056118488311768);0.35;6.0420215129852295;0.1549236285380828;6.454793303231878;961.3617810863966;949.0022017035752;21001;10000;False;(0.11780773609737576, 0.011003468901434818, -0.1531425268056689);{'bbox': [0.45230212807655334, 0.5782416661580404, 0.5393457412719727, 0.7369384235805936], 'velocity': (0.044659823179244995, -0.0006540765753015876, 0.0030614673160016537)}
64;45;3;(1.3976715803146362, 0.4480489194393158, -2.0159616470336914);0.35;7.0471110343933105;0.15660246743096246;6.38559542774028;-85.7005608099485;-100.2334788644632;21001;10002;False;(0.0711307375101253, 0.022771193541840137, -0.16992808189048758);{'bbox': [0.45265108346939087, 0.5909507539537218, 0.5382212996482849, 0.7431962754991319], 'velocity': (0.05846307799220085, -0.0027043716982007027, 0.0008911620825529099)}
65;37;3;(1.2631958723068237, 0.6101673245429993, -2.1433844566345215);0.35;5.767542362213135;0.1558795233030577;6.415210791066001;955.565604334551;940.3735877995798;21001;10000;False;(0.08461472392082214, -0.004326902329921722, -0.16546514630317688);{'bbox': [0.4594532251358032, 0.5841790835062662, 0.5450694561004639, 0.731686168246799], 'velocity': (0.05036711320281029, 0.004220263101160526, -0.00829275231808424)}
66;39;5;(1.251774549484253, 0.6353902816772461, -1.8911705017089844);0.35;6.102406740188599;0.15647196769714355;6.390921100548384;964.9811406823886;949.516056779791;21001;10000;False;(0.1290974079572445, -0.020499604115875016, -0.13901979520356522);{'bbox': [0.45844534039497375, 0.5818294949001737, 0.5440570116043091, 0.7262615097893609], 'velocity': (0.04400205239653587, 0.0017508725868538022, -0.007942801341414452)}
67;47;4;(1.401090383529663, -0.18501639366149902, -1.738016963005066);0.35;7.201817035675049;0.1532301496952138;6.526130803820752;952.9302055901508;939.6381027074069;21001;10000;False;(0.07524939626455307, -0.018523555248975754, -0.1593562811613083);{'bbox': [0.45253947377204895, 0.5834994845920138, 0.5387901663780212, 0.7385973930358887], 'velocity': (0.053281109780073166, 4.2181534809060395e-05, 0.01223144680261612)}
