episode;steps;time_before_moviment;time_moviment;direction;last_code_grab_overlap;last_code_arm_collision;last_drone_collision
0;3;0.2964363098144531;1.0579893589019775;up;10000;10000;False
0;2;0.1287527084350586;0.9387154579162598;up;10000;10000;False
0;2;0.11677813529968262;0.0004990100860595703;up;10000;10000;False
0;2;0.12925386428833008;1.1183745861053467;up;10000;10000;False
0;2;0.1117863655090332;0.9576804637908936;up;10000;10000;False
0;3;0.26848864555358887;0.8893101215362549;up;10000;10000;False
0;3;0.3039226531982422;0.8818235397338867;up;10000;10000;False
0;2;0.12176942825317383;5.615326881408691;left;10000;10000;False
0;2;0.11228585243225098;0.8124558925628662;down;10000;10000;False
0;2;0.13025283813476562;0.8109588623046875;down;10000;10000;False
0;2;0.12126874923706055;0.787503719329834;down;10000;10000;False
0;2;0.12825465202331543;0.7740299701690674;down;10000;10000;False
0;2;0.11278581619262695;0.6856973171234131;down;10000;10000;False
0;2;0.11627817153930664;0.7321093082427979;down;10000;10000;False
0;2;0.11228656768798828;0.8783302307128906;down;10000;10000;False
1;2;0.12077021598815918;1.2067067623138428;up;10000;10000;False
1;2;0.1222677230834961;1.0425186157226562;up;10000;10000;False
1;4;0.43816661834716797;0.9736502170562744;up;10000;10000;False
1;2;0.12576079368591309;1.1198723316192627;up;10000;10000;False
1;2;0.11228609085083008;1.180755615234375;up;10000;10000;False
1;4;0.4476499557495117;0.9821326732635498;up;10000;10000;False
1;2;0.12276649475097656;0.9247424602508545;up;10000;10000;False
1;2;0.10779523849487305;5.594367027282715;left;10000;10000;False
1;13;1.9817335605621338;1.0505030155181885;down;10000;10000;False
1;3;0.29443907737731934;1.2221777439117432;down;10000;10000;False
1;2;0.11178755760192871;0.7176351547241211;down;10000;10000;False
1;2;0.12077045440673828;0.7610538005828857;down;10000;10000;False
1;2;0.11328434944152832;0.700669527053833;down;10000;10000;False
1;2;0.12426328659057617;0.765545129776001;down;10000;10000;False
1;2;0.11977171897888184;0.8728420734405518;down;10000;10000;False
2;2;0.11428332328796387;1.0784499645233154;up;10000;10000;False
2;5;0.6298027038574219;0.0004992485046386719;up;10000;10000;False
2;2;0.11677765846252441;1.6828017234802246;up;10000;10000;False
2;4;0.46561431884765625;0.9212496280670166;up;10000;10000;False
2;2;0.11128807067871094;0.9516921043395996;up;10000;10000;False
2;5;0.6472690105438232;0.0009984970092773438;up;10000;10000;False
2;3;0.29943132400512695;2.1648852825164795;up;10000;10000;False
2;2;0.11577892303466797;5.665234088897705;left;10000;10000;False
2;13;2.2686879634857178;1.2705845832824707;down;10000;10000;False
2;4;0.5474581718444824;1.4347741603851318;down;10000;10000;False
2;2;0.12076950073242188;0.7226278781890869;down;10000;10000;False
2;2;0.11777615547180176;0.7236249446868896;down;10000;10000;False
2;2;0.1187744140625;0.6602451801300049;down;10000;10000;False
2;2;0.12426376342773438;0.8044710159301758;down;10000;10000;False
2;2;0.11278533935546875;0.8748373985290527;down;10000;10000;False
3;2;0.11827492713928223;1.0859360694885254;up;10000;10000;False
3;3;0.28894996643066406;1.0155701637268066;up;10000;10000;False
3;13;2.032636880874634;1.047508955001831;up;10000;10000;False
3;2;0.1187739372253418;1.1997203826904297;up;10000;10000;False
3;2;0.11927342414855957;1.1138825416564941;up;10000;10000;False
3;2;0.1252610683441162;0.9521911144256592;up;10000;10000;False
3;2;0.11578059196472168;0.9282357692718506;up;10000;10000;False
3;2;0.11378264427185059;5.5394721031188965;left;10000;10000;False
3;2;0.10879302024841309;0.7261199951171875;down;10000;10000;False
3;2;0.11827492713928223;0.8174459934234619;down;10000;10000;False
3;2;0.11078929901123047;0.7196321487426758;down;10000;10000;False
3;2;0.11677789688110352;0.6921834945678711;down;10000;10000;False
3;2;0.12126851081848145;0.6382880210876465;down;10000;10000;False
3;2;0.1137838363647461;0.6971752643585205;down;10000;10000;False
3;2;0.12027168273925781;0.6966762542724609;down;10000;10000;False
