episode;amount_collected;steps;steps_try_grab_apple;time;mean_time;mean_fps;time_deposit;total_time;last_code_grab_overlap;last_code_arm_collision;last_drone_collision;last_action;last_state
0;1;32;4;6.828522443771362;0.21339132636785507;4.686226085291526;18.42697811126709;25.255500555038452;21008;10000;False;(0.09527596831321716, -0.010627252981066704, -0.18758010864257812);{'bbox': [0.4481101632118225, 0.577245659298367, 0.5411587953567505, 0.7155020501878526], 'velocity': (0.04619917646050453, -0.0030653534922748804, -0.033342111855745316)}
0;2;35;5;6.048504590988159;0.17281441688537597;5.786554258741493;15.555935621261597;21.604440212249756;21004;10000;False;(0.08565770834684372, -0.006285351701080799, -0.17953553795814514);{'bbox': [0.4503900110721588, 0.5760331153869629, 0.5422642827033997, 0.7200781504313151], 'velocity': (0.044789593666791916, -0.0035007225815206766, 0.00042212381958961487)}
0;3;34;6;5.959174633026123;0.17526984214782715;5.705488107626491;16.48367166519165;22.442846298217773;21010;10000;False;(0.08767896145582199, -0.005748189520090818, -0.20221371948719025);{'bbox': [0.4524989724159241, 0.5680063565572103, 0.543513834476471, 0.7138903935750326], 'velocity': (0.03928555175662041, -0.0029556406661868095, -0.03926293924450874)}
0;4;34;5;6.558534622192383;0.19289807712330537;5.1840848541003055;19.32028102874756;25.87881565093994;21003;10000;False;(0.0791749358177185, -0.013907723128795624, -0.197843998670578);{'bbox': [0.4515649974346161, 0.5693051550123427, 0.5418443083763123, 0.7222970856560601], 'velocity': (0.042428310960531235, -0.002834526589140296, -0.04095780476927757)}
0;5;28;24;5.12276291847229;0.1829558185168675;5.465800476347274;17.685887575149536;22.808650493621826;21014;10000;False;(0.08067572116851807, -0.011564359068870544, -0.19634176790714264);{'bbox': [0.4549274146556854, 0.5718863275316026, 0.5467557311058044, 0.7233880890740289], 'velocity': (0.04627927392721176, 0.0015093634137883782, -0.05076346918940544)}
0;6;24;4;3.9455018043518066;0.1643959085146586;6.0828764476874655;17.443348169326782;21.38884997367859;21097;10000;False;(0.052984967827796936, -0.016139855608344078, -0.18078970909118652);{'bbox': [0.43588462471961975, 0.5678440729777018, 0.5210062265396118, 0.7403463787502713], 'velocity': (0.05479962006211281, -0.030350590124726295, 0.0016987128183245659)}
0;7;30;10;5.024450302124023;0.16748167673746744;5.970802415404104;16.899382829666138;21.92383313179016;21091;10000;False;(0.072177954018116, -0.0055197421461343765, -0.18221543729305267);{'bbox': [0.4497077167034149, 0.574636353386773, 0.5467728972434998, 0.7266918818155924], 'velocity': (0.037697888910770416, -0.0038232558872550726, -0.0042503587901592255)}
0;7;28;0;4.699069499969482;0.1678239107131958;5.958626489815025;1.556541919708252;6.255611419677734;13028;10003;False;(0.10729148238897324, 0.04726892337203026, -0.16862565279006958);{'bbox': [0.4990772604942322, 0.5744500690036349, 0.5451449751853943, 0.7222447395324707], 'velocity': (0.06201084330677986, 0.014155110344290733, 0.006182233802974224)}
0;8;36;2;6.013570547103882;0.16704362630844116;5.986460076923434;17.30111813545227;23.314688682556152;23026;10001;False;(0.0806393176317215, -0.014105691574513912, -0.185402512550354);{'bbox': [0.449523001909256, 0.5743676291571723, 0.5388484597206116, 0.7250247001647949], 'velocity': (0.04859874024987221, -0.0048843733966350555, -0.023950742557644844)}
0;8;26;3;4.723024129867554;0.18165477422567514;5.504947526221745;1.8345134258270264;6.55753755569458;10000;10002;False;(0.054209668189287186, -0.08350164443254471, -0.18237634003162384);{'bbox': [0.40999743342399597, 0.5687306192186143, 0.500078558921814, 0.7448834313286675], 'velocity': (0.05474131181836128, -0.03338953107595444, -0.010518914088606834)}
0;9;38;8;7.181850910186768;0.1889960765838623;5.291115128288258;21.101895093917847;28.283746004104614;21096;10000;False;(0.06161656603217125, -0.009598364122211933, -0.19530291855335236);{'bbox': [0.4502098858356476, 0.5683817333645291, 0.5475285053253174, 0.7300615310668945], 'velocity': (0.040222279727458954, -0.004726015031337738, -0.028800226747989655)}
0;10;25;4;4.108191728591919;0.16432766914367675;6.08540244750669;15.644268035888672;19.75245976448059;21016;10000;False;(0.07610543817281723, -0.018161481246352196, -0.1755785495042801);{'bbox': [0.45208072662353516, 0.5793168809678819, 0.5450104475021362, 0.7310638427734375], 'velocity': (0.05587971583008766, 0.0021191053092479706, -0.0161138866096735)}
0;11;31;6;5.389257431030273;0.17384701390420237;5.752183931965869;15.51002287864685;20.899280309677124;21094;10000;False;(0.0887342244386673, -0.003835572162643075, -0.1837269514799118);{'bbox': [0.44739624857902527, 0.5785207748413086, 0.5399888753890991, 0.7211588753594292], 'velocity': (0.03885184973478317, -0.007543423678725958, -0.03186435252428055)}
0;12;32;5;5.257507801055908;0.16429711878299713;6.086534002588294;15.780009269714355;21.037517070770264;21054;10000;False;(0.05735784024000168, -0.017409706488251686, -0.17122629284858704);{'bbox': [0.44693753123283386, 0.5788523356119791, 0.5419014692306519, 0.7435037824842665], 'velocity': (0.04725753515958786, -0.006233179476112127, -0.008749576285481453)}
0;12;21;0;3.442457437515259;0.16392654464358375;6.10029328791285;1.549055576324463;4.991513013839722;10000;10001;False;(0.1076769009232521, -0.09359418600797653, -0.1719190925359726);{'bbox': [0.44362714886665344, 0.5840386814541287, 0.5268958210945129, 0.7229742474026151], 'velocity': (0.0789635181427002, 0.018904712051153183, -0.024552159011363983)}
